Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2023-05-04,4450,4.4,4.48,4.4,"13,04M","1,14%"
2023-05-03,4400,4.4,4.42,4.35,"16,33M","0,00%"
2023-05-02,4400,4.4,4.41,4.28,"15,55M","0,00%"
2023-04-28,4400,4.4,4.44,4.36,"14,42M","0,00%"
2023-04-27,4400,4.15,4.47,4.15,"67,86M","7,32%"
2023-04-26,4100,4.09,4.1,3.96,"32,56M","0,24%"
2023-04-18,4090,4.13,4.15,4.09,"8,49M","-0,97%"
2023-04-17,4130,4.16,4.18,4.09,"11,18M","-0,48%"
2023-04-14,4150,4.12,4.22,4.12,"18,20M","1,22%"
2023-04-13,4100,4.16,4.18,4.1,"17,31M","-2,15%"
2023-04-12,4190,4.21,4.22,4.18,"9,42M","-0,24%"
2023-04-11,4200,4.29,4.29,4.2,"8,80M","-2,10%"
2023-04-10,4290,4.25,4.29,4.23,"3,68M","0,94%"
2023-04-06,4250,4.25,4.29,4.23,"5,19M","0,00%"
2023-04-05,4250,4.29,4.32,4.25,"7,78M","-0,93%"
2023-04-04,4290,4.28,4.29,4.22,"10,34M","0,00%"
2023-04-03,4290,4.35,4.35,4.25,"8,14M","-1,38%"
2023-03-31,4350,4.27,4.36,4.26,"10,61M","2,11%"
2023-03-30,4260,4.36,4.37,4.26,"5,42M","-2,29%"
2023-03-29,4360,4.3,4.37,4.3,"9,21M","1,40%"
2023-03-28,4300,4.29,4.32,4.28,"4,81M","0,23%"
2023-03-27,4290,4.27,4.29,4.23,"6,20M","0,47%"
2023-03-24,4270,4.37,4.37,4.24,"20,72M","1,67%"
2023-03-21,4200,4.16,4.2,4.15,"5,27M","0,96%"
2023-03-20,4160,4.16,4.17,4.1,"3,71M","0,00%"
2023-03-17,4160,4.07,4.17,4.07,"16,62M","2,21%"
2023-03-16,4070,4.1,4.12,4.04,"8,06M","-0,73%"
2023-03-15,4100,4.21,4.23,4.1,"10,28M","-2,61%"
2023-03-14,4210,4.14,4.24,4.13,"20,39M","1,20%"
2023-03-13,4160,4.09,4.18,4.08,"10,11M","1,22%"
2023-03-10,4110,4.1,4.14,4.08,"6,41M","0,24%"
2023-03-09,4100,4.1,4.14,4.08,"12,78M","0,00%"
2023-03-08,4100,4.08,4.12,4.06,"8,07M","0,49%"
2023-03-07,4080,4.16,4.16,4.08,"17,12M","-2,16%"
2023-03-06,4170,4.08,4.19,4.07,"18,91M","2,71%"
2023-03-03,4060,4.15,4.17,4.05,"25,48M","-2,17%"
2023-03-02,4150,4.16,4.22,4.15,"18,61M","0,00%"
2023-03-01,4150,4.17,4.2,4.11,"20,34M","-0,72%"
2023-02-28,4180,4.3,4.32,4.18,"56,17M","-2,79%"
2023-02-27,4300,4.35,4.35,4.21,"23,94M","-1,15%"
2023-02-24,4350,4.4,4.44,4.35,"15,57M","-1,14%"
2023-02-23,4400,4.49,4.49,4.4,"12,22M","-1,79%"
2023-02-22,4480,4.49,4.49,4.38,"18,93M","-0,44%"
2023-02-21,4500,4.54,4.54,4.5,"9,34M","-0,88%"
2023-02-20,4540,4.52,4.56,4.5,"6,72M","0,67%"
2023-02-17,4510,4.52,4.53,4.48,"12,44M","-0,22%"
2023-02-16,4520,4.55,4.56,4.51,"7,73M","-0,66%"
2023-02-15,4550,4.56,4.56,4.5,"14,88M","-0,22%"
2023-02-14,4560,4.52,4.57,4.52,"14,13M","0,88%"
2023-02-13,4520,4.58,4.58,4.49,"27,60M","-1,31%"
2023-02-10,4580,4.77,4.77,4.58,"80,98M","-6,91%"
2023-02-09,4920,5.025,5.05,4.92,"18,74M","-2,09%"
2023-02-08,5025,4.86,5.025,4.81,"28,38M","3,40%"
2023-02-07,4860,4.73,4.89,4.72,"19,13M","2,75%"
2023-02-06,4730,4.69,4.73,4.66,"5,96M","0,85%"
2023-02-03,4690,4.74,4.74,4.68,"8,99M","-0,85%"
2023-02-02,4730,4.63,4.74,4.63,"19,33M","2,16%"
2023-02-01,4630,4.63,4.68,4.62,"14,21M","-0,64%"
2023-01-31,4660,4.76,4.76,4.66,"20,69M","-2,10%"
2023-01-30,4760,4.75,4.78,4.71,"12,56M","0,21%"
2023-01-27,4750,4.8,4.82,4.75,"10,66M","-1,04%"
2023-01-26,4800,4.85,4.87,4.76,"10,43M","-1,03%"
2023-01-25,4850,4.83,4.86,4.81,"5,24M","0,41%"
2023-01-24,4830,4.81,4.85,4.79,"9,01M","0,42%"
2023-01-20,4810,4.8,4.83,4.76,"5,57M","0,21%"
2023-01-19,4800,4.8,4.83,4.77,"6,58M","0,00%"
2023-01-18,4800,4.76,4.8,4.72,"5,98M","0,84%"
2023-01-17,4760,4.77,4.8,4.72,"12,33M","-0,21%"
2023-01-16,4770,4.79,4.8,4.75,"5,60M","-0,42%"
2023-01-13,4790,4.75,4.79,4.72,"7,56M","0,63%"
2023-01-12,4760,4.7,4.76,4.66,"8,90M","1,28%"
2023-01-11,4700,4.68,4.7,4.64,"8,37M","0,21%"
2023-01-10,4690,4.76,4.77,4.66,"11,45M","-1,47%"
2023-01-09,4760,4.76,4.77,4.69,"7,93M","0,00%"
2023-01-06,4760,4.72,4.76,4.67,"8,39M","0,63%"
2023-01-05,4730,4.65,4.73,4.6,"12,52M","1,94%"
2023-01-04,4640,4.61,4.69,4.61,"6,74M","0,87%"
2023-01-03,4600,4.6,4.65,4.57,"10,73M","-0,43%"
2023-01-02,4620,4.7,4.7,4.61,"4,68M","-1,70%"
2022-12-30,4700,4.78,4.78,4.7,"13,03M","-1,26%"
2022-12-29,4760,4.74,4.76,4.7,"6,83M","-0,21%"
2022-12-28,4770,4.81,4.82,4.71,"9,24M","-0,83%"
2022-12-27,4810,4.76,4.81,4.74,"7,41M","1,26%"
2022-12-26,4750,4.82,4.82,4.74,"4,18M","-1,45%"
2022-12-23,4820,4.83,4.83,4.76,"5,70M","-0,41%"
2022-12-22,4840,4.78,4.84,4.77,"8,34M","1,26%"
2022-12-21,4780,4.77,4.79,4.74,"5,98M","0,21%"
2022-12-20,4770,4.73,4.77,4.7,"5,49M","0,85%"
2022-12-19,4730,4.83,4.83,4.73,"14,70M","-2,87%"
2022-12-16,4870,4.69,4.87,4.66,"15,94M","3,62%"
2022-12-15,4700,4.72,4.72,4.64,"8,69M","-0,42%"
2022-12-14,4720,4.72,4.72,4.67,"7,42M","0,00%"
2022-12-13,4720,4.7,4.72,4.63,"10,34M","0,64%"
2022-12-12,4690,4.62,4.69,4.58,"9,79M","1,52%"
2022-12-09,4620,4.66,4.66,4.6,"11,53M","-0,86%"
2022-12-08,4660,4.67,4.69,4.56,"18,76M","-0,85%"
2022-12-07,4700,4.74,4.74,4.67,"16,80M","-0,84%"
2022-12-06,4740,4.74,4.75,4.67,"12,81M","0,00%"
2022-12-05,4740,4.71,4.8,4.7,"11,21M","0,64%"
2022-12-02,4710,4.71,4.71,4.66,"6,92M","0,00%"
2022-12-01,4710,4.8,4.8,4.67,"15,11M","-1,88%"
2022-11-30,4800,4.66,4.8,4.62,"53,07M","2,13%"
2022-11-29,4700,4.71,4.71,4.66,"19,14M","-0,21%"
2022-11-28,4710,4.6,4.73,4.56,"33,18M","2,39%"
2022-11-25,4600,4.57,4.6,4.53,"9,14M","0,88%"
2022-11-24,4560,4.55,4.6,4.55,"6,44M","0,22%"
2022-11-23,4550,4.58,4.59,4.55,"9,02M","-0,22%"
2022-11-22,4560,4.57,4.62,4.56,"18,96M","0,22%"
2022-11-21,4550,4.63,4.63,4.55,"16,53M","-1,94%"
2022-11-18,4640,4.59,4.66,4.56,"17,09M","1,09%"
2022-11-17,4590,4.6,4.61,4.56,"12,15M","-0,43%"
2022-11-16,4610,4.61,4.61,4.55,"8,94M","0,00%"
2022-11-15,4610,4.59,4.61,4.54,"9,77M","0,44%"
2022-11-14,4590,4.54,4.6,4.53,"12,09M","1,10%"
2022-11-11,4540,4.61,4.61,4.52,"16,74M","-0,44%"
2022-11-10,4560,4.53,4.58,4.5,"8,83M","0,44%"
2022-11-09,4540,4.63,4.63,4.52,"21,48M","-1,94%"
2022-11-08,4630,4.64,4.65,4.6,"15,50M","0,22%"
2022-11-07,4620,4.54,4.62,4.5,"18,94M","1,76%"
2022-11-04,4540,4.53,4.55,4.47,"18,63M","0,67%"
2022-11-03,4510,4.51,4.56,4.5,"14,24M","0,22%"
2022-11-02,4500,4.53,4.59,4.46,"34,75M","-0,66%"
2022-11-01,4530,4.59,4.69,4.5,"85,79M","-2,37%"
2022-10-31,4640,4.65,4.74,4.64,"81,29M","-6,83%"
2022-10-28,4980,5.05,5.075,4.98,"32,05M","-6,92%"
2022-10-27,5350,5.4,5.45,5.275,"22,17M","-0,93%"
2022-10-26,5400,5.25,5.4,5.175,"27,02M","2,37%"
2022-10-25,5275,5.325,5.375,5.2,"17,10M","-0,94%"
2022-10-24,5325,5.275,5.475,5.25,"27,35M","0,47%"
2022-10-21,5300,5.4,5.4,5.25,"18,23M","-1,85%"
2022-10-20,5400,5.35,5.45,5.225,"51,71M","0,93%"
2022-10-19,5350,4.93,5.375,4.93,"82,47M","9,18%"
2022-10-18,4900,4.85,4.9,4.81,"18,80M","1,45%"
2022-10-17,4830,4.85,4.85,4.8,"11,65M","0,42%"
2022-10-14,4810,4.84,4.86,4.77,"10,14M","-0,62%"
2022-10-13,4840,4.79,4.84,4.77,"12,50M","1,04%"
2022-10-12,4790,4.73,4.79,4.66,"11,19M","1,27%"
2022-10-11,4730,4.78,4.78,4.73,"10,78M","-1,46%"
2022-10-10,4800,4.84,4.84,4.7,"8,70M","-0,83%"
2022-10-07,4840,4.9,4.91,4.76,"14,44M","-1,22%"
2022-10-06,4900,4.86,4.9,4.84,"17,34M","1,45%"
2022-10-05,4830,4.9,4.9,4.83,"13,57M","-0,82%"
2022-10-04,4870,4.88,4.9,4.85,"12,97M","0,41%"
2022-10-03,4850,4.83,4.87,4.82,"14,75M","0,41%"
2022-09-30,4830,4.84,4.85,4.71,"23,11M","-0,41%"
2022-09-29,4850,4.8,4.87,4.79,"18,11M","0,83%"
2022-09-28,4810,4.8,4.84,4.78,"16,85M","0,21%"
2022-09-27,4800,4.8,4.81,4.77,"10,29M","0,21%"
2022-09-26,4790,4.81,4.83,4.75,"17,73M","-0,42%"
2022-09-23,4810,4.81,4.82,4.77,"11,89M","0,00%"
2022-09-22,4810,4.81,4.81,4.74,"14,41M","0,00%"
2022-09-21,4810,4.73,4.84,4.73,"33,96M","1,69%"
2022-09-20,4730,4.63,4.73,4.62,"25,97M","2,83%"
2022-09-19,4600,4.63,4.63,4.51,"9,79M","-0,65%"
2022-09-16,4630,4.64,4.64,4.61,"21,23M","0,65%"
2022-09-15,4600,4.64,4.66,4.58,"16,88M","-0,65%"
2022-09-14,4630,4.64,4.64,4.6,"10,05M","-0,86%"
2022-09-13,4670,4.57,4.67,4.56,"22,93M","2,64%"
