Date;Price;Price_number;Open;High;Low;Vol.;Change %
30/08/2022;8,175;8175;8,1;8,275;8,075;109.60M;0.31%
31/08/2022;8,2;8200;8,075;8,225;8,05;137.66M;0.31%
01/09/2022;8,15;8150;8,15;8,25;8,125;76.12M;-0.61%
02/09/2022;8,225;8225;8,15;8,225;8,15;61.35M;0.92%
05/09/2022;8,275;8275;8,225;8,3;8,2;62.91M;0.61%
06/09/2022;8,275;8275;8,3;8,35;8,25;67.12M;0.00%
07/09/2022;8,375;8375;8,25;8,375;8,25;101.24M;1.21%
08/09/2022;8,35;8350;8,4;8,5;8,35;132.78M;-0.30%
09/09/2022;8,375;8375;8,5;8,5;8,275;91.23M;0.30%
12/09/2022;8,375;8375;8,325;8,425;8,325;52.40M;0.00%
13/09/2022;8,525;8525;8,375;8,575;8,375;124.49M;1.79%
14/09/2022;8,5;8500;8,375;8,65;8,375;116.64M;-0.29%
15/09/2022;8,75;8750;8,5;8,875;8,5;190.40M;2.94%
16/09/2022;8,45;8450;8,7;8,725;8,45;363.13M;-3.43%
19/09/2022;8,65;8650;8,475;8,75;8,45;102.53M;2.37%
20/09/2022;8,55;8550;8,55;8,65;8,55;89.24M;-1.16%
21/09/2022;8,475;8475;8,525;8,6;8,425;90.93M;-0.88%
22/09/2022;8,475;8475;8,375;8,525;8,375;61.91M;0.00%
23/09/2022;8,375;8375;8,375;8,475;8,375;60.57M;-1.18%
26/09/2022;8,425;8425;8,2;8,5;8,2;106.23M;0.60%
27/09/2022;8,3;8300;8,375;8,45;8,3;89.57M;-1.48%
28/09/2022;8,325;8325;8,25;8,425;8,25;89.15M;0.30%
29/09/2022;8,375;8375;8,325;8,45;8,325;62.64M;0.60%
30/09/2022;8,55;8550;8,375;8,575;8,275;176.52M;2.09%
03/10/2022;8,5;8500;8,45;8,525;8,45;115.08M;-0.58%
04/10/2022;8,55;8550;8,525;8,625;8,525;80.52M;0.59%
05/10/2022;8,45;8450;8,525;8,55;8,425;63.79M;-1.17%
06/10/2022;8,425;8425;8,475;8,5;8,425;43.97M;-0.30%
07/10/2022;8,2;8200;8,325;8,375;8,2;112.04M;-2.67%
10/10/2022;8,3;8300;8,15;8,375;8,125;80.24M;1.22%
11/10/2022;8,25;8250;8,2;8,3;8,15;64.06M;-0.60%
12/10/2022;8,325;8325;8,2;8,325;8,175;47.57M;0.91%
13/10/2022;8,275;8275;8,275;8,375;8,275;62.28M;-0.60%
14/10/2022;8,25;8250;8,3;8,35;8,25;71.18M;-0.30%
17/10/2022;8,25;8250;8,25;8,3;8,175;56.39M;0.00%
18/10/2022;8,3;8300;8,275;8,475;8,25;85.67M;0.61%
19/10/2022;8,275;8275;8,25;8,35;8,225;66.75M;-0.30%
