"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2024","11,400","11,450","11,500","11,375","2.40M","-0.44%"
"01/26/2024","11,450","11,600","11,625","11,275","5.35M","0.44%"
"01/25/2024","11,400","11,400","11,500","11,400","4.04M","0.00%"
"01/24/2024","11,400","11,400","11,525","11,325","3.73M","0.22%"
"01/23/2024","11,375","11,400","11,400","11,225","3.76M","-0.22%"
"01/22/2024","11,400","11,600","11,625","11,200","6.16M","-1.30%"
"01/19/2024","11,550","11,375","11,625","11,300","9.59M","2.44%"
"01/18/2024","11,275","11,175","11,350","11,075","5.65M","1.35%"
"01/17/2024","11,125","11,075","11,125","11,000","2.87M","0.45%"
"01/16/2024","11,075","11,125","11,250","11,050","3.30M","-0.45%"
"01/15/2024","11,125","11,200","11,350","11,100","3.56M","-0.45%"
"01/12/2024","11,175","11,025","11,175","11,025","1.90M","0.45%"
"01/11/2024","11,125","11,350","11,350","11,100","4.18M","-1.98%"
"01/10/2024","11,350","11,075","11,375","10,975","7.54M","2.95%"
"01/09/2024","11,025","10,800","11,075","10,800","4.44M","2.56%"
"01/08/2024","10,750","10,725","10,925","10,675","3.21M","0.23%"
"01/05/2024","10,725","11,025","11,025","10,725","3.44M","-2.94%"
"01/04/2024","11,050","10,675","11,150","10,650","7.07M","4.00%"
"01/03/2024","10,625","10,650","10,675","10,600","803.10K","-0.23%"
"01/02/2024","10,650","10,575","10,650","10,550","3.56M","0.71%"
"12/29/2023","10,575","10,675","10,800","10,575","4.68M","-0.70%"
"12/28/2023","10,650","10,625","10,825","10,600","3.16M","0.71%"
"12/27/2023","10,575","10,525","10,675","10,525","1.82M","0.48%"
"12/22/2023","10,525","10,575","10,625","10,475","1.31M","-0.24%"
"12/21/2023","10,550","10,575","10,650","10,550","1.72M","-0.24%"
"12/20/2023","10,575","10,575","10,675","10,575","1.86M","0.00%"
"12/19/2023","10,575","10,650","10,675","10,525","2.16M","-0.24%"
"12/18/2023","10,600","10,450","10,600","10,375","6.54M","1.68%"
"12/15/2023","10,425","10,575","10,675","10,425","8.34M","-1.42%"
"12/14/2023","10,575","10,400","10,675","10,400","3.71M","0.24%"
"12/13/2023","10,550","10,625","10,675","10,500","3.29M","-0.71%"
"12/12/2023","10,625","10,525","10,725","10,500","2.99M","0.95%"
"12/11/2023","10,525","10,900","10,925","10,475","6.70M","-4.10%"
"12/08/2023","10,975","10,675","10,975","10,675","5.21M","3.05%"
"12/07/2023","10,650","10,650","10,725","10,525","3.03M","0.00%"
"12/06/2023","10,650","10,675","10,950","10,550","4.96M","-0.23%"
"12/05/2023","10,675","10,525","10,675","10,450","2.32M","1.67%"
"12/04/2023","10,500","10,575","10,600","10,350","10.07M","-0.24%"
"12/01/2023","10,525","10,675","10,750","10,475","7.48M","-8.87%"
"11/30/2023","11,550","10,350","11,550","10,275","14.78M","10.00%"
"11/29/2023","10,500","10,650","10,700","10,400","4.10M","-1.41%"
"11/28/2023","10,650","10,675","10,750","10,550","4.50M","0.00%"
"11/27/2023","10,650","10,425","10,725","10,425","3.05M","2.16%"
"11/24/2023","10,425","10,550","10,550","10,400","1.51M","-1.18%"
"11/23/2023","10,550","10,525","10,650","10,475","3.03M","0.48%"
"11/22/2023","10,500","10,500","10,550","10,400","2.17M","0.00%"
"11/21/2023","10,500","10,525","10,525","10,400","2.78M","-0.24%"
"11/20/2023","10,525","10,475","10,550","10,450","1.33M","0.48%"
"11/17/2023","10,475","10,625","10,625","10,350","4.27M","-0.95%"
"11/16/2023","10,575","10,575","10,575","10,400","6.08M","0.00%"
"11/15/2023","10,575","10,475","10,650","10,475","3.45M","1.20%"
"11/14/2023","10,450","10,350","10,500","10,250","6.89M","0.72%"
"11/13/2023","10,375","10,575","10,675","10,375","2.52M","-1.89%"
"11/10/2023","10,575","10,500","10,575","10,400","2.22M","1.20%"
"11/09/2023","10,450","10,475","10,650","10,450","2.17M","-0.24%"
