"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2024","2,320","2,340","2,350","2,300","3.84M","-0.85%"
"01/25/2024","2,340","2,380","2,390","2,330","4.54M","-0.85%"
"01/24/2024","2,360","2,360","2,370","2,350","4.08M","0.43%"
"01/23/2024","2,350","2,380","2,400","2,350","3.32M","-1.26%"
"01/22/2024","2,380","2,410","2,410","2,370","4.54M","-0.83%"
"01/19/2024","2,400","2,360","2,410","2,360","5.78M","1.27%"
"01/18/2024","2,370","2,400","2,430","2,360","5.69M","-1.25%"
"01/17/2024","2,400","2,420","2,450","2,390","4.98M","-2.04%"
"01/16/2024","2,450","2,450","2,460","2,430","4.44M","0.00%"
"01/15/2024","2,450","2,430","2,460","2,410","4.19M","1.24%"
"01/12/2024","2,420","2,430","2,430","2,410","1.87M","-0.41%"
"01/11/2024","2,430","2,450","2,450","2,410","4.15M","-0.82%"
"01/10/2024","2,450","2,440","2,450","2,420","3.16M","0.41%"
"01/09/2024","2,440","2,400","2,460","2,400","7.88M","1.67%"
"01/08/2024","2,400","2,440","2,440","2,380","12.90M","-1.64%"
"01/05/2024","2,440","2,450","2,460","2,420","4.49M","-0.41%"
"01/04/2024","2,450","2,430","2,470","2,410","5.69M","1.24%"
"01/03/2024","2,420","2,480","2,490","2,380","10.94M","-2.02%"
"01/02/2024","2,470","2,490","2,510","2,450","8.96M","-0.80%"
"12/29/2023","2,490","2,510","2,550","2,450","6.56M","-0.40%"
"12/28/2023","2,500","2,380","2,500","2,380","9.11M","5.04%"
"12/27/2023","2,380","2,380","2,410","2,370","5.65M","0.00%"
"12/22/2023","2,380","2,350","2,400","2,320","3.22M","2.15%"
"12/21/2023","2,330","2,400","2,400","2,330","2.91M","-2.92%"
"12/20/2023","2,400","2,430","2,440","2,380","5.31M","-0.83%"
"12/19/2023","2,420","2,330","2,420","2,310","4.87M","4.76%"
"12/18/2023","2,310","2,300","2,340","2,290","3.63M","0.43%"
